2018-11-18 13:16:56,496 INFO     Still connected to
2018-11-18 13:16:56,496 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,533 INFO     Received [reset]
2018-11-18 13:16:56,533 INFO     Still connected to
2018-11-18 13:16:56,534 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,535 INFO     Received [reset]
2018-11-18 13:16:56,535 INFO     Still connected to
2018-11-18 13:16:56,536 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,571 INFO     Received [reset]
2018-11-18 13:16:56,572 INFO     Still connected to
2018-11-18 13:16:56,573 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,573 INFO     Received [reset]
2018-11-18 13:16:56,574 INFO     Still connected to
2018-11-18 13:16:56,574 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,581 INFO     Received [reset]
2018-11-18 13:16:56,582 INFO     Still connected to
2018-11-18 13:16:56,583 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,614 INFO     Received [reset]
2018-11-18 13:16:56,615 INFO     Still connected to
2018-11-18 13:16:56,615 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,646 INFO     Received [reset]
2018-11-18 13:16:56,647 INFO     Still connected to
2018-11-18 13:16:56,648 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,648 INFO     Received [reset]
2018-11-18 13:16:56,649 INFO     Still connected to
2018-11-18 13:16:56,650 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,689 INFO     Received [reset]
2018-11-18 13:16:56,690 INFO     Still connected to
2018-11-18 13:16:56,690 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,691 INFO     Received [reset]
2018-11-18 13:16:56,691 INFO     Still connected to
2018-11-18 13:16:56,692 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,725 INFO     Received [reset]
2018-11-18 13:16:56,726 INFO     Still connected to
2018-11-18 13:16:56,726 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,727 INFO     Received [reset]
2018-11-18 13:16:56,728 INFO     Still connected to
2018-11-18 13:16:56,728 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,759 INFO     Received [reset]
2018-11-18 13:16:56,760 INFO     Still connected to
2018-11-18 13:16:56,760 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,763 INFO     Received [reset]
2018-11-18 13:16:56,763 INFO     Still connected to
2018-11-18 13:16:56,764 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,795 INFO     Received [reset]
2018-11-18 13:16:56,796 INFO     Still connected to
2018-11-18 13:16:56,796 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,800 INFO     Received [reset]
2018-11-18 13:16:56,801 INFO     Still connected to
2018-11-18 13:16:56,801 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,833 INFO     Received [reset]
2018-11-18 13:16:56,833 INFO     Still connected to
2018-11-18 13:16:56,834 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,865 INFO     Received [reset]
2018-11-18 13:16:56,866 INFO     Still connected to
2018-11-18 13:16:56,866 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,867 INFO     Received [reset]
2018-11-18 13:16:56,868 INFO     Still connected to
2018-11-18 13:16:56,868 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,899 INFO     Received [reset]
2018-11-18 13:16:56,900 INFO     Still connected to
2018-11-18 13:16:56,900 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,901 INFO     Received [reset]
2018-11-18 13:16:56,901 INFO     Still connected to
2018-11-18 13:16:56,902 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,933 INFO     Received [reset]
2018-11-18 13:16:56,933 INFO     Still connected to
2018-11-18 13:16:56,934 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,940 INFO     Received [reset]
2018-11-18 13:16:56,941 INFO     Still connected to
2018-11-18 13:16:56,941 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,965 INFO     Received [reset]
2018-11-18 13:16:56,966 INFO     Still connected to
2018-11-18 13:16:56,966 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,999 INFO     Received [reset]
2018-11-18 13:16:57,000 INFO     Still connected to
2018-11-18 13:16:57,000 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,001 INFO     Received [reset]
2018-11-18 13:16:57,002 INFO     Still connected to
2018-11-18 13:16:57,003 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,034 INFO     Received [reset]
2018-11-18 13:16:57,035 INFO     Still connected to
2018-11-18 13:16:57,035 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,040 INFO     Received [reset]
2018-11-18 13:16:57,041 INFO     Still connected to
2018-11-18 13:16:57,041 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,073 INFO     Received [reset]
2018-11-18 13:16:57,073 INFO     Still connected to
2018-11-18 13:16:57,074 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,105 INFO     Received [reset]
2018-11-18 13:16:57,106 INFO     Still connected to
2018-11-18 13:16:57,106 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,107 INFO     Received [reset]
2018-11-18 13:16:57,108 INFO     Still connected to
2018-11-18 13:16:57,108 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,143 INFO     Received [reset]
2018-11-18 13:16:57,143 INFO     Still connected to
2018-11-18 13:16:57,144 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,145 INFO     Received [reset]
2018-11-18 13:16:57,145 INFO     Still connected to
2018-11-18 13:16:57,146 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,181 INFO     Received [reset]
2018-11-18 13:16:57,182 INFO     Still connected to
2018-11-18 13:16:57,183 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,189 INFO     Received [reset]
2018-11-18 13:16:57,190 INFO     Still connected to
2018-11-18 13:16:57,190 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,221 INFO     Received [reset]
2018-11-18 13:16:57,222 INFO     Still connected to
2018-11-18 13:16:57,223 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,229 INFO     Received [reset]
2018-11-18 13:16:57,230 INFO     Still connected to
2018-11-18 13:16:57,230 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,261 INFO     Received [reset]
2018-11-18 13:16:57,262 INFO     Still connected to
2018-11-18 13:16:57,263 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,263 INFO     Received [reset]
